,yyb_pair,total,co_buy,buy_sell,sell_buy,co_sell
131,中信建投证券宜昌市解放路证券营业部-华泰证券南京中山北路证券营业部,4,1,2,0,1
1223,财通证券温岭东辉北路证券营业部-华泰证券南京中山北路证券营业部,3,1,2,0,0
1217,财通证券温岭东辉北路证券营业部-中信建投证券宜昌市解放路证券营业部,3,1,2,0,0
1050,海通证券上海共和新路证券营业部-方正证券温州小南路证券营业部,3,2,0,0,1
391,光大证券佛山季华六路证券营业部-华泰证券南京中山北路证券营业部,3,1,1,0,1
387,光大证券佛山季华六路证券营业部-中信建投证券宜昌市解放路证券营业部,3,1,1,0,1
831,天风证券南京建邺路证券营业部-华福证券厦门湖滨南路证券营业部,2,1,1,0,0
622,华福证券厦门湖滨南路证券营业部-安信证券梅州新中路证券营业部,2,1,0,0,1
642,华鑫证券深圳益田路证券营业部-中银国际证券成都人民中路证券营业部,2,0,1,0,1
646,华鑫证券深圳益田路证券营业部-华龙证券深圳深南大道证券营业部,2,0,1,0,1
648,华鑫证券深圳益田路证券营业部-财通证券绍兴柯桥区钱清钱门大道证券营业部,2,0,1,0,1
663,华龙证券兰州民主东路证券营业部-华泰证券深圳龙岗黄阁北路证券营业部,2,0,0,0,2
710,国泰君安证券上海福山路证券营业部-东方证券北京安苑路证券营业部,2,1,1,0,0
800,国金证券上海奉贤区金碧路证券营业部-光大证券宁波中山西路证券营业部,2,1,0,0,1
804,国金证券上海奉贤区金碧路证券营业部-广发证券宜兴解放路证券营业部,2,1,1,0,0
828,天风证券南京建邺路证券营业部-光大证券奉化南山路证券营业部,2,1,1,0,0
832,天风证券南京建邺路证券营业部-安信证券梅州新中路证券营业部,2,1,1,0,0
587,华泰证券湖南分-华泰证券深圳龙岗黄阁北路证券营业部,2,0,2,0,0
901,广发证券宜兴解放路证券营业部-中国中投证券深圳宝安区创业一路证券营业部,2,0,1,0,1
902,广发证券宜兴解放路证券营业部-中国银河证券温州大南路证券营业部,2,0,1,0,1
903,广发证券宜兴解放路证券营业部-国金证券上海奉贤区金碧路证券营业部,2,0,1,0,1
905,广发证券宜兴解放路证券营业部-申万宏源西部证券深圳深南大道证券营业部,2,0,1,0,1
931,广发证券泉州涂门街证券营业部-广发证券宜兴解放路证券营业部,2,1,1,0,0
984,招商证券深圳深南大道车公庙证券营业部-东吴证券苏州相城黄埭中市路证券营业部,2,1,1,0,0
1030,方正证券重庆新南路证券营业部-中信建投证券宜昌市解放路证券营业部,2,1,1,0,0
1038,海通证券上海共和新路证券营业部-中信证券杭州四季路证券营业部,2,2,0,0,0
1111,海通证券长沙五一大道证券营业部-东方证券北京安苑路证券营业部,2,1,1,0,0
589,华泰证券湖南分-华龙证券兰州民主东路证券营业部,2,0,2,0,0
30,东兴证券莆田梅园东路证券营业部-中信建投证券宜昌市解放路证券营业部,2,1,1,0,0
582,华泰证券深圳龙岗黄阁北路证券营业部-华鑫证券上海惠南镇人民东路证券营业部,2,1,0,0,1
63,东方证券北京安苑路证券营业部-中信证券上海东方路证券营业部,2,0,1,0,1
64,东方证券北京安苑路证券营业部-光大证券宁波中山西路证券营业部,2,0,1,0,1
66,东方证券北京安苑路证券营业部-国金证券上海互联网证券分,2,0,1,0,1
125,中信建投证券宜昌市解放路证券营业部-中信建投证券宜昌市解放路证券营业部,2,0,2,0,0
126,中信建投证券宜昌市解放路证券营业部-中信证券中山中山四路证券营业部,2,0,1,0,1
128,中信建投证券宜昌市解放路证券营业部-光大证券宁波中山西路证券营业部,2,0,1,0,1
132,中信建投证券宜昌市解放路证券营业部-海通证券天津霞光道证券营业部,2,0,1,0,1
186,中信证券宁波天童北路证券营业部-华福证券厦门湖滨南路证券营业部,2,2,0,0,0
204,中信证券杭州四季路证券营业部-方正证券温州小南路证券营业部,2,1,0,0,1
221,中信证券杭州延安路证券营业部-中信证券宁波天童北路证券营业部,2,2,0,0,0
225,中信证券杭州延安路证券营业部-华福证券厦门湖滨南路证券营业部,2,2,0,0,0
274,中国中投证券深圳宝安区创业一路证券营业部-东方证券北京安苑路证券营业部,2,1,1,0,0
290,中国中投证券深圳宝安区创业一路证券营业部-国金证券上海奉贤区金碧路证券营业部,2,0,1,0,1
389,光大证券佛山季华六路证券营业部-光大证券宁波中山西路证券营业部,2,0,1,0,1
413,光大证券奉化南山路证券营业部-华福证券厦门湖滨南路证券营业部,2,1,0,0,1
414,光大证券奉化南山路证券营业部-安信证券梅州新中路证券营业部,2,1,0,0,1
420,光大证券宁波中山西路证券营业部-广发证券宜兴解放路证券营业部,2,1,1,0,0
444,光大证券长沙人民中路证券营业部-广发证券宜兴解放路证券营业部,2,1,1,0,0
503,华泰证券南京中山北路证券营业部-中信建投证券宜昌市解放路证券营业部,2,0,1,0,1
506,华泰证券南京中山北路证券营业部-光大证券宁波中山西路证券营业部,2,0,1,0,1
553,华泰证券深圳益田路荣超商务中心证券营业部-光大证券奉化南山路证券营业部,2,1,0,0,1
558,华泰证券深圳益田路荣超商务中心证券营业部-华福证券厦门湖滨南路证券营业部,2,1,0,0,1
565,华泰证券深圳益田路荣超商务中心证券营业部-安信证券梅州新中路证券营业部,2,1,0,0,1
