,date_list
000001.SZ,"2006-11-22,2006-11-21,2007-01-05,2007-06-20,2007-06-21,2007-06-27,2007-06-25,2008-03-04,2008-09-16,2008-10-13,2009-02-25,2009-06-15,2009-07-30,2010-09-17,2013-01-28,2013-02-28,2013-03-05,2013-07-11,2013-09-09,2014-11-28,2015-04-10,2015-07-07,2015-07-13,2015-07-08,2015-09-01"
000002.SZ,"2006-11-30,2006-12-27,2007-01-10,2007-01-17,2007-02-26,2007-05-09,2007-07-17,2007-09-05,2007-10-08,2008-03-17,2008-03-19,2008-09-26,2010-12-21,2013-01-21,2013-06-28,2014-12-31,2015-12-01,2015-12-02,2015-12-09,2015-12-17,2015-12-18,2016-07-04,2016-07-05,2016-08-04,2016-08-12,2016-08-15,2016-08-16,2016-08-31"
000004.SZ,"2006-08-18,2007-03-05,2007-05-28,2007-05-29,2007-05-31,2007-06-05,2007-06-26,2007-07-23,2007-11-09,2008-04-18,2009-03-04,2009-09-10,2010-03-01,2011-06-08,2011-06-09,2011-06-10,2011-07-21,2012-05-31,2012-07-05,2012-07-04,2012-07-12,2013-02-26,2013-05-08,2013-05-07,2013-08-15,2013-08-20,2014-02-25,2014-09-16,2014-09-17,2014-09-18,2015-06-29,2015-07-08,2015-07-14"
000005.SZ,"2006-07-31,2007-07-13,2007-07-18,2007-09-03,2008-04-22,2008-06-12,2008-06-17,2008-09-01,2008-09-02,2008-09-08,2008-11-21,2008-12-16,2009-05-08,2009-07-02,2009-12-01,2009-11-26,2009-11-27,2012-04-24,2012-07-17,2012-12-11,2013-01-23,2013-10-10,2014-09-12,2014-09-16,2014-09-17,2014-09-15,2014-09-18,2014-09-25,2015-05-13,2015-05-20,2015-05-15,2015-06-01,2015-05-25,2015-05-27,2015-06-02,2015-05-28,2015-05-29,2015-06-03,2015-07-21,2015-07-24,2015-09-10,2015-09-11,2015-10-16,2015-10-14,2015-10-19,2015-10-23,2015-10-26,2015-11-02,2015-11-12,2016-02-25,2016-05-13,2016-06-14"
000006.SZ,"2006-07-17,2007-01-19,2007-04-23,2007-04-25,2007-09-20,2008-03-18,2009-03-02,2009-07-30,2010-07-20,2010-07-27,2010-07-26,2010-07-28,2010-11-17,2010-12-03,2010-12-08,2010-12-07,2011-01-11,2011-07-14,2012-01-12,2012-03-26,2012-04-12,2012-12-19,2014-03-27,2015-03-27,2015-06-08,2015-08-12,2015-08-13,2015-08-14,2015-10-29,2016-03-01,2016-08-03"
000007.SZ,"2006-08-14,2006-11-03,2007-03-22,2007-04-17,2007-04-18,2007-04-23,2007-05-15,2007-05-23,2007-05-29,2007-06-06,2007-06-12,2007-06-01,2007-06-26,2007-07-02,2007-08-09,2007-08-14,2007-10-19,2008-07-03,2008-07-04,2008-07-17,2008-09-10,2008-09-22,2008-10-09,2008-12-08,2008-12-11,2009-04-08,2010-05-10,2011-06-08,2011-12-19,2011-12-30,2012-01-04,2012-03-29,2012-05-04,2012-05-16,2012-07-03,2012-07-17,2012-07-31,2013-02-21,2013-02-25,2013-03-01,2013-02-26,2013-03-11,2013-03-18,2013-03-22,2013-05-28,2013-08-12,2014-09-05,2014-09-11,2014-09-10,2015-02-06,2015-04-30,2015-11-25,2015-11-24,2015-11-23,2016-07-15,2016-07-19,2016-07-18,2016-08-01,2016-07-29"
000008.SZ,"2007-04-24,2007-06-06,2007-06-01,2007-06-26,2007-08-16,2007-09-14,2008-08-12,2008-10-24,2010-05-12,2010-06-18,2010-06-21,2012-03-21,2012-03-28,2012-04-05,2012-08-01,2012-08-23,2013-02-19,2013-05-30,2013-05-31,2013-06-06,2013-06-04,2013-07-17,2013-10-16,2014-05-05,2014-05-16,2014-09-19,2014-09-22,2014-09-26,2014-09-25,2014-10-14,2014-10-13,2014-11-07,2014-12-08,2014-12-29,2015-01-28,2015-03-04,2015-03-11,2015-07-02,2015-07-14,2015-07-23,2015-07-21,2015-09-17,2015-10-13,2015-10-14,2015-10-28,2015-11-12,2016-03-10,2016-06-21"
000009.SZ,"2007-03-26,2007-05-09,2007-05-24,2007-06-01,2007-12-20,2008-05-16,2008-05-19,2008-10-14,2008-10-13,2008-10-28,2008-11-11,2008-11-20,2009-03-31,2009-07-03,2009-08-26,2010-02-04,2010-09-03,2010-11-15,2011-01-20,2011-02-11,2011-02-21,2011-02-28,2011-02-17,2011-11-08,2011-11-11,2011-12-21,2012-01-11,2012-02-28,2012-08-01,2013-03-07,2013-03-12,2013-03-22,2013-05-03,2013-06-17,2014-02-10,2014-08-20,2014-08-19,2014-09-09,2015-02-16,2015-04-23,2015-05-07,2015-08-19,2015-08-20,2015-10-23,2015-11-30,2016-04-05,2016-08-19"
000010.SZ,"2007-03-01,2007-04-19,2007-05-22,2007-06-06,2007-06-01,2007-06-26,2008-04-07,2008-04-10,2008-04-24,2008-04-23,2008-04-21,2008-05-05,2008-06-05,2008-06-30,2008-07-03,2008-08-12,2008-09-09,2008-09-16,2009-08-07,2009-08-19,2012-03-16,2012-03-19,2012-06-05,2012-06-04,2012-10-09,2012-10-12,2012-11-26,2013-04-23,2013-07-19,2013-07-23,2013-08-16,2013-09-23,2013-09-24,2013-10-21,2013-10-18,2013-10-22,2013-10-28,2013-12-16,2014-02-13,2014-04-30,2014-08-18,2015-05-21,2015-05-26,2015-06-01,2015-05-28,2015-05-29,2015-08-19,2015-08-18,2015-12-04"
000011.SZ,"2006-12-28,2007-05-22,2007-06-07,2007-06-01,2007-07-04,2008-04-18,2008-05-05,2008-08-12,2008-09-16,2008-11-27,2009-03-06,2009-09-23,2009-09-28,2009-11-03,2009-11-26,2009-12-25,2010-01-21,2010-03-12,2010-07-22,2010-07-26,2010-07-28,2010-09-17,2011-01-07,2011-01-11,2011-03-10,2011-03-11,2011-04-27,2011-05-11,2011-05-16,2011-05-17,2011-05-19,2011-05-18,2011-06-07,2011-06-08,2011-06-16,2011-06-24,2011-07-05,2012-02-24,2012-02-27,2012-04-17,2012-04-16,2012-04-13,2012-04-25,2012-06-25,2012-06-26,2013-01-23,2013-04-10,2013-04-09,2014-10-31,2015-04-10,2015-04-13,2015-04-09,2015-05-26,2015-05-25,2015-05-27,2015-05-28,2015-07-30,2015-07-31,2015-08-12,2015-08-13,2015-09-17,2015-10-26,2015-10-30,2016-01-21,2016-02-05,2016-02-17,2016-02-15,2016-02-18,2016-02-19,2016-02-23,2016-03-02,2016-03-01,2016-03-03,2016-03-04,2016-03-10,2016-03-21,2016-03-22,2016-04-21,2016-04-22,2016-04-20,2016-08-18"
000012.SZ,"2007-10-09,2007-10-15,2008-05-21,2008-12-25,2009-02-10,2009-03-26,2009-03-27,2009-03-31,2009-03-30,2009-04-16,2009-06-08,2009-08-04,2010-04-21,2010-07-06,2010-08-11,2010-10-28,2010-11-04,2010-11-19,2010-11-15,2011-01-19,2011-06-23,2011-10-21,2013-05-28,2013-06-05,2014-01-14,2015-04-27,2015-07-08,2015-09-29,2015-12-23,2015-12-24,2016-02-19"
000014.SZ,"2006-08-08,2007-03-28,2007-03-29,2007-04-03,2007-04-11,2007-08-06,2008-01-25,2008-01-29,2008-03-07,2008-09-26,2008-12-23,2009-01-21,2009-11-26,2010-05-05,2010-04-30,2010-07-30,2012-02-03,2012-04-11,2012-04-17,2012-04-13,2012-04-26,2012-04-18,2012-04-24,2012-05-18,2012-05-23,2012-06-21,2012-06-25,2012-06-26,2012-06-28,2012-07-04,2012-08-09,2012-08-27,2012-08-24,2012-12-07,2013-01-18,2013-01-23,2013-01-22,2013-01-25,2013-01-24,2013-01-21,2013-03-25,2013-06-27,2013-09-09,2013-09-13,2013-09-26,2014-03-28,2014-04-28,2014-05-05,2015-07-14,2015-08-14,2015-08-20,2015-08-17,2015-12-24"
000016.SZ,"2008-04-09,2008-04-10,2010-09-28,2011-03-16,2011-10-11,2013-01-21,2013-11-28,2014-08-04,2015-01-06,2015-03-05,2015-04-02,2015-04-30,2015-06-11,2015-06-05,2015-09-11,2015-09-16,2015-09-22,2015-09-21,2015-09-24,2015-09-23,2015-09-25,2015-10-12,2015-10-16,2015-10-13,2015-10-20,2015-10-19,2015-11-23,2016-02-19,2016-02-24,2016-03-08,2016-05-27,2016-06-22"
000017.SZ,"2007-01-25,2010-03-18,2010-03-22,2010-05-19,2011-09-22,2012-01-05,2012-02-01,2012-05-03,2012-08-01,2012-10-18,2012-10-12,2012-10-26,2014-01-06,2014-01-20,2014-03-10,2014-03-28,2014-06-17,2014-09-24,2015-01-08,2015-04-20,2015-04-15,2015-04-14,2015-05-22,2015-06-26,2015-12-03,2015-12-04,2016-02-18,2016-03-09,2016-07-29"
000018.SZ,"2006-08-25,2006-10-27,2007-03-02,2007-03-01,2007-07-18,2008-01-23,2008-03-17,2008-06-23,2008-09-18,2008-10-16,2009-04-17,2009-07-07,2009-08-18,2011-09-22,2012-02-15,2012-02-28,2012-05-03,2012-09-21,2012-09-28,2012-09-26,2014-05-05,2014-06-04,2014-10-16,2014-10-30,2014-12-23,2014-12-30,2015-01-05,2014-12-31,2014-10-20,2015-02-11,2015-02-09,2015-02-10,2015-04-09,2015-06-30,2015-07-24,2015-08-03,2015-08-11,2015-09-11,2015-12-10,2015-12-11,2015-12-25,2016-01-29,2016-02-17,2016-02-15,2016-02-26,2016-03-07,2016-03-23,2016-04-12,2016-06-23"
