yyb_name,total,first_date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,last_date
万和证券有限责任公司三亚解放二路证券营业部,1,2016-02-04,0,0,0,0,0,0,0,0,0,0,0,0,1,2016-02-04
万和证券有限责任公司上海分公司,1,2016-08-19,0,0,0,0,0,0,0,0,0,0,0,0,1,2016-08-19
万和证券有限责任公司广州中山大道西证券营业部,7,2015-11-10,0,0,0,0,0,0,0,0,0,0,0,7,0,2015-12-04
万和证券有限责任公司广州如意证券营业部,1,2016-02-29,0,0,0,0,0,0,0,0,0,0,0,0,1,2016-02-29
万和证券有限责任公司广州怡安路证券营业部,3,2015-11-30,0,0,0,0,0,0,0,0,0,0,0,3,0,2015-12-30
万和证券有限责任公司成都大墙西街证券营业部,6,2015-09-25,0,0,0,0,0,0,0,0,0,0,0,3,3,2016-06-08
万和证券有限责任公司成都蜀汉路证券营业部,52,2015-09-25,0,0,0,0,0,0,0,0,0,0,0,11,41,2016-08-19
万和证券有限责任公司成都通盈街证券营业部,3,2016-06-13,0,0,0,0,0,0,0,0,0,0,0,0,3,2016-06-14
万和证券有限责任公司河南分公司,2,2016-05-20,0,0,0,0,0,0,0,0,0,0,0,0,2,2016-08-18
万和证券有限责任公司海口南沙中路证券营业部,4,2015-09-22,0,0,0,0,0,0,0,0,0,0,0,2,2,2016-08-05
万和证券有限责任公司深圳笋岗东路证券营业部,12,2015-09-16,0,0,0,0,0,0,0,0,0,0,0,6,6,2016-05-12
万和证券有限责任公司福州江滨西大道证券营业部,14,2015-11-06,0,0,0,0,0,0,0,0,0,0,0,3,11,2016-08-18
万联证券有限责任公司,1,2016-08-25,0,0,0,0,0,0,0,0,0,0,0,0,1,2016-08-25
万联证券有限责任公司上海富贵东路证券营业部,14,2015-11-30,0,0,0,0,0,0,0,0,0,0,0,4,10,2016-07-29
万联证券有限责任公司上海浦东新区福山路证券营业部,2,2015-10-21,0,0,0,0,0,0,0,0,0,0,0,2,0,2015-10-21
万联证券有限责任公司东莞常平振兴三街证券营业部,8,2015-11-20,0,0,0,0,0,0,0,0,0,0,0,2,6,2016-08-30
万联证券有限责任公司东莞簪花路证券营业部,63,2015-12-16,0,0,0,0,0,0,0,0,0,0,0,4,59,2016-09-01
万联证券有限责任公司乐山柏杨路证券营业部,7,2015-09-22,0,0,0,0,0,0,0,0,0,0,0,5,2,2016-06-06
万联证券有限责任公司佛山顺德东乐路证券营业部,4,2016-02-02,0,0,0,0,0,0,0,0,0,0,0,0,4,2016-09-01
万联证券有限责任公司内江交通路证券营业部,3,2016-01-20,0,0,0,0,0,0,0,0,0,0,0,0,3,2016-07-21
万联证券有限责任公司内江隆昌县跃进街证券营业部,11,2016-03-01,0,0,0,0,0,0,0,0,0,0,0,0,11,2016-06-20
万联证券有限责任公司北京上地创业路证券营业部,8,2015-12-31,0,0,0,0,0,0,0,0,0,0,0,1,7,2016-07-21
万联证券有限责任公司厦门湖滨南路证券营业部,8,2016-07-21,0,0,0,0,0,0,0,0,0,0,0,0,8,2016-08-19
万联证券有限责任公司广州东风中路证券营业部,3,2015-12-01,0,0,0,0,0,0,0,0,0,0,0,2,1,2016-05-17
万联证券有限责任公司广州农林下路证券营业部,17,2015-09-15,0,0,0,0,0,0,0,0,0,0,0,2,15,2016-09-02
万联证券有限责任公司广州南沙进港大道证券营业部,2,2015-09-28,0,0,0,0,0,0,0,0,0,0,0,1,1,2016-08-16
万联证券有限责任公司广州增城荔新十二路证券营业部,8,2016-01-14,0,0,0,0,0,0,0,0,0,0,0,0,8,2016-08-10
万联证券有限责任公司广州寺右新马路证券营业部,9,2015-10-28,0,0,0,0,0,0,0,0,0,0,0,1,8,2016-09-02
万联证券有限责任公司广州广园证券营业部,20,2015-09-17,0,0,0,0,0,0,0,0,0,0,0,4,16,2016-08-23
万联证券有限责任公司广州开发区证券营业部,15,2015-09-17,0,0,0,0,0,0,0,0,0,0,0,5,10,2016-06-21
万联证券有限责任公司广州滨江东路证券营业部,7,2016-01-05,0,0,0,0,0,0,0,0,0,0,0,0,7,2016-08-09
万联证券有限责任公司广州番禺清河东路证券营业部,28,2015-09-23,0,0,0,0,0,0,0,0,0,0,0,4,24,2016-08-30
万联证券有限责任公司广州石牌东路证券营业部,12,2015-11-19,0,0,0,0,0,0,0,0,0,0,0,8,4,2016-05-05
万联证券有限责任公司广州花蕾路证券营业部,3,2015-12-01,0,0,0,0,0,0,0,0,0,0,0,1,2,2016-05-19
万联证券有限责任公司广州花都公益路证券营业部,5,2015-09-17,0,0,0,0,0,0,0,0,0,0,0,1,4,2016-09-02
万联证券有限责任公司成都天府二街证券营业部,4,2016-01-15,0,0,0,0,0,0,0,0,0,0,0,0,4,2016-08-04
万联证券有限责任公司成都清江东路证券营业部,1,2016-08-23,0,0,0,0,0,0,0,0,0,0,0,0,1,2016-08-23
