yyb_name,total,first_date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,last_date
万和证券有限责任公司三亚解放二路证券营业部,14,2012-03-07,0,0,0,0,0,0,0,0,1,10,2,0,1,2016-02-04
万和证券有限责任公司上海分公司,1,2016-08-19,0,0,0,0,0,0,0,0,0,0,0,0,1,2016-08-19
万和证券有限责任公司广州中山大道西证券营业部,31,2012-07-27,0,0,0,0,0,0,0,0,8,12,4,7,0,2015-12-04
万和证券有限责任公司广州如意证券营业部,1,2016-02-29,0,0,0,0,0,0,0,0,0,0,0,0,1,2016-02-29
万和证券有限责任公司广州怡安路证券营业部,3,2015-11-30,0,0,0,0,0,0,0,0,0,0,0,3,0,2015-12-30
万和证券有限责任公司成都体育场路证券营业部,11,2012-02-10,0,0,0,0,0,0,0,0,11,0,0,0,0,2012-10-12
万和证券有限责任公司成都大墙西街证券营业部,95,2012-10-24,0,0,0,0,0,0,0,0,3,51,10,28,3,2016-06-08
万和证券有限责任公司成都建设西街证券营业部,14,2012-07-20,0,0,0,0,0,0,0,0,9,2,0,3,0,2015-08-20
万和证券有限责任公司成都建设路证券营业部,10,2011-09-01,0,0,0,0,0,0,0,2,1,4,0,3,0,2015-09-02
万和证券有限责任公司成都蜀汉路证券营业部,194,2011-08-05,0,0,0,0,0,0,0,17,60,11,15,50,41,2016-08-19
万和证券有限责任公司成都通盈街证券营业部,3,2016-06-13,0,0,0,0,0,0,0,0,0,0,0,0,3,2016-06-14
万和证券有限责任公司成都顺城大街证券营业部,22,2011-08-17,0,0,0,0,0,0,0,4,18,0,0,0,0,2012-09-27
万和证券有限责任公司河南分公司,2,2016-05-20,0,0,0,0,0,0,0,0,0,0,0,0,2,2016-08-18
万和证券有限责任公司海口南沙中路证券营业部,14,2011-12-22,0,0,0,0,0,0,0,2,1,4,3,2,2,2016-08-05
万和证券有限责任公司深圳笋岗东路证券营业部,172,2011-08-08,0,0,0,0,0,0,0,12,98,12,26,18,6,2016-05-12
万和证券有限责任公司福州江滨西大道证券营业部,34,2011-08-19,0,0,0,0,0,0,0,4,0,6,8,5,11,2016-08-18
万和证券深圳笋岗东路部,4,2006-07-11,0,0,4,0,0,0,0,0,0,0,0,0,0,2006-08-24
万和证券经纪有限公司成都体育场路证券营业部,1,2006-12-08,0,0,1,0,0,0,0,0,0,0,0,0,0,2006-12-08
万和证券经纪有限公司成都天仙桥南路证券营业部,7,2005-04-14,0,1,0,2,3,1,0,0,0,0,0,0,0,2009-04-29
万和证券经纪有限公司成都建设西街证券营业部,6,2007-08-28,0,0,0,1,1,1,1,2,0,0,0,0,0,2011-05-25
万和证券经纪有限公司成都蜀汉路证券营业部,62,2007-08-08,0,0,0,3,17,4,16,22,0,0,0,0,0,2011-08-04
万和证券经纪有限公司成都顺城大街证券营业部,18,2007-04-27,0,0,0,2,1,2,11,2,0,0,0,0,0,2011-01-11
万和证券经纪有限公司海口南沙路证券营业部,12,2007-04-16,0,0,0,9,2,0,1,0,0,0,0,0,0,2010-11-03
万和证券经纪有限公司深圳笋岗东路证券营业部,21,2006-12-04,0,0,1,5,6,7,1,1,0,0,0,0,0,2011-04-12
万和证券经纪有限责任公司成都体育场路证券营业部,33,2006-10-12,0,0,3,6,17,1,3,3,0,0,0,0,0,2011-06-15
万和证券经纪有限责任公司成都天仙桥南路证券营业部,8,2008-08-28,0,0,0,0,6,2,0,0,0,0,0,0,0,2009-02-19
万和证券经纪有限责任公司成都建设路证券营业部,10,2007-04-20,0,0,0,4,2,0,3,1,0,0,0,0,0,2011-04-07
万和证券经纪有限责任公司成都蜀汉路证券营业部,36,2006-08-18,0,0,4,9,12,8,2,1,0,0,0,0,0,2011-04-11
万和证券经纪有限责任公司海口南沙路证券营业部,9,2007-02-05,0,0,0,6,3,0,0,0,0,0,0,0,0,2008-06-12
